frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
14:42:12.196071,"[0.4973544478416443, 0.39299437403678894]","[0.5079913139343262, 0.6321886777877808]","[0.5111605525016785, 0.8217945098876953]","[0.5061407089233398, 0.11746320128440857]","[0.5392385721206665, 0.2807323932647705]","[0.49809175729751587, 0.23110054433345795]","[0.43315690755844116, 0.39730289578437805]","[0.418307900428772, 0.6505441665649414]","[0.40512150526046753, 0.8444478511810303]","[0.4024626612663269, 0.10610994696617126]","[0.3783722221851349, 0.2700321674346924]","[0.4485284984111786, 0.22911129891872406]"
14:42:12.381955,"[0.5021241307258606, 0.4034026861190796]","[0.5174028873443604, 0.6485981345176697]","[0.5182511210441589, 0.8563981652259827]","[0.5070719122886658, 0.11338400095701218]","[0.5401634573936462, 0.27006834745407104]","[0.5014859437942505, 0.2244086116552353]","[0.4354620575904846, 0.40926069021224976]","[0.4196513593196869, 0.6600757241249084]","[0.40678533911705017, 0.8602408170700073]","[0.40246090292930603, 0.10606828331947327]","[0.3806115388870239, 0.27026093006134033]","[0.44872984290122986, 0.22909466922283173]"
14:42:12.457635,"[0.5052176117897034, 0.4064091444015503]","[0.5185761451721191, 0.6476391553878784]","[0.5204702615737915, 0.8598228693008423]","[0.5069394707679749, 0.10994096100330353]","[0.5403266549110413, 0.26456543803215027]","[0.5058732628822327, 0.21779775619506836]","[0.43706193566322327, 0.4138779044151306]","[0.4205237925052643, 0.6620097756385803]","[0.4082030653953552, 0.8696749806404114]","[0.4030550718307495, 0.10541100800037384]","[0.38184958696365356, 0.26999780535697937]","[0.44896209239959717, 0.22876235842704773]"
14:42:12.523829,"[0.507690966129303, 0.4197676181793213]","[0.5180311799049377, 0.6536063551902771]","[0.5204439163208008, 0.8667148947715759]","[0.5073848962783813, 0.11008168011903763]","[0.5427367091178894, 0.2649230360984802]","[0.5071770548820496, 0.2175140529870987]","[0.43767938017845154, 0.42537280917167664]","[0.42159950733184814, 0.6698276996612549]","[0.4089474380016327, 0.879755437374115]","[0.40416985750198364, 0.10592106729745865]","[0.38277581334114075, 0.27000221610069275]","[0.45246854424476624, 0.229665145277977]"
14:42:12.588397,"[0.5100575089454651, 0.4207627773284912]","[0.5178841352462769, 0.6552571654319763]","[0.5209580659866333, 0.8630582690238953]","[0.5086807012557983, 0.11022799462080002]","[0.5433118939399719, 0.2617591321468353]","[0.5111177563667297, 0.21842598915100098]","[0.4392865300178528, 0.42433032393455505]","[0.4238017499446869, 0.6686362028121948]","[0.4099244773387909, 0.8789339065551758]","[0.40795353055000305, 0.1057245060801506]","[0.3839576840400696, 0.26999926567077637]","[0.45334306359291077, 0.23198850452899933]"
14:42:12.646391,"[0.5105574131011963, 0.42005401849746704]","[0.5175344347953796, 0.6541165113449097]","[0.521560549736023, 0.8621472120285034]","[0.5101377964019775, 0.11014644056558609]","[0.5462483167648315, 0.2580347955226898]","[0.5177028179168701, 0.21141161024570465]","[0.44152161478996277, 0.42380988597869873]","[0.42678743600845337, 0.6677776575088501]","[0.40991485118865967, 0.8776675462722778]","[0.409875750541687, 0.10494761168956757]","[0.38618695735931396, 0.26808610558509827]","[0.4553065299987793, 0.23623231053352356]"
14:42:12.705432,"[0.5112376809120178, 0.4186229705810547]","[0.5172814130783081, 0.6529662013053894]","[0.5212858319282532, 0.8632497191429138]","[0.5118110775947571, 0.11025382578372955]","[0.5482553243637085, 0.25674527883529663]","[0.5184012055397034, 0.21132512390613556]","[0.4426881670951843, 0.4226337969303131]","[0.4276929795742035, 0.6674091815948486]","[0.41025617718696594, 0.8773820400238037]","[0.4115152359008789, 0.10454454272985458]","[0.3889816105365753, 0.26714569330215454]","[0.4565207362174988, 0.23760850727558136]"
14:42:12.777156,"[0.5122008919715881, 0.41763776540756226]","[0.5167959928512573, 0.6530860066413879]","[0.5210757255554199, 0.8666154146194458]","[0.5131242871284485, 0.10930914431810379]","[0.5478296875953674, 0.25080761313438416]","[0.5238438248634338, 0.20763616263866425]","[0.4432879090309143, 0.4218762516975403]","[0.42878296971321106, 0.666997492313385]","[0.4108008146286011, 0.8761168718338013]","[0.4123508632183075, 0.10371256619691849]","[0.39014020562171936, 0.26636552810668945]","[0.4575940668582916, 0.23808430135250092]"
14:42:12.835454,"[0.5132266283035278, 0.4182104468345642]","[0.5163614749908447, 0.6536549925804138]","[0.5215004086494446, 0.8678060173988342]","[0.5147795677185059, 0.1093202754855156]","[0.5484567880630493, 0.25105932354927063]","[0.5256088376045227, 0.2057735025882721]","[0.44414812326431274, 0.42181968688964844]","[0.4293006360530853, 0.6671921014785767]","[0.4109398424625397, 0.8758840560913086]","[0.4131214916706085, 0.10331135243177414]","[0.39073988795280457, 0.2654314339160919]","[0.4580249488353729, 0.2385716438293457]"
14:42:12.893673,"[0.51289302110672, 0.4180390536785126]","[0.5160991549491882, 0.653313398361206]","[0.5221462249755859, 0.8672582507133484]","[0.5151805877685547, 0.10928741842508316]","[0.5481930375099182, 0.2521188259124756]","[0.5244576334953308, 0.20492887496948242]","[0.4443477690219879, 0.4214077889919281]","[0.42955854535102844, 0.6669927835464478]","[0.41090017557144165, 0.8773656487464905]","[0.41315048933029175, 0.10322878509759903]","[0.39119911193847656, 0.26498445868492126]","[0.4581865072250366, 0.23841136693954468]"
