frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist,exercise
16:32:54.101141,"[0.5181276798248291, 0.4100392758846283, -0.00951644778251648]","[0.5391181707382202, 0.6699928641319275, -0.08261047303676605]","[0.5533620715141296, 0.8769230842590332, 0.08601028472185135]","[0.5310813188552856, 0.09941217303276062, 0.07413284480571747]","[0.5659307241439819, 0.24480246007442474, -0.051820721477270126]","[0.5099042654037476, 0.2083798050880432, -0.22700220346450806]","[0.4429663419723511, 0.413503497838974, 0.009414108470082283]","[0.4267920255661011, 0.6707853078842163, -0.037830229848623276]","[0.41609427332878113, 0.8784694075584412, 0.10541153699159622]","[0.4191204309463501, 0.10457929968833923, 0.09878403693437576]","[0.3930659294128418, 0.265164315700531, -0.007605073507875204]","[0.4320838153362274, 0.22246700525283813, -0.17728808522224426]",squat
16:32:54.168350,"[0.5191106796264648, 0.40894660353660583, -0.006583926267921925]","[0.5385134220123291, 0.6662384867668152, -0.05904184654355049]","[0.5522972941398621, 0.8755378723144531, 0.1427045613527298]","[0.5311716198921204, 0.09929359704256058, 0.021455219015479088]","[0.5666308999061584, 0.24667562544345856, -0.09804371744394302]","[0.5210150480270386, 0.20836390554904938, -0.35904884338378906]","[0.4432834982872009, 0.4135110676288605, 0.006532485131174326]","[0.4277413785457611, 0.6697316765785217, -0.016981996595859528]","[0.4161878526210785, 0.877396285533905, 0.18620507419109344]","[0.4192013442516327, 0.1045059934258461, 0.0338573232293129]","[0.39241600036621094, 0.26587486267089844, -0.057833392173051834]","[0.42323070764541626, 0.22764305770397186, -0.27531659603118896]",squat
16:32:54.229497,"[0.5196697115898132, 0.40803226828575134, -0.0054013109765946865]","[0.5382950901985168, 0.6652030348777771, -0.054897554218769073]","[0.5514864325523376, 0.873742938041687, 0.14859791100025177]","[0.5309719443321228, 0.09930171072483063, 0.017922572791576385]","[0.567449688911438, 0.2480478137731552, -0.10080185532569885]","[0.5300108194351196, 0.20709922909736633, -0.36405375599861145]","[0.44356223940849304, 0.41347429156303406, 0.005390074569731951]","[0.42839792370796204, 0.6683784127235413, -0.012238598428666592]","[0.4163113534450531, 0.8769707679748535, 0.1914297193288803]","[0.4191102981567383, 0.10445953905582428, 0.0262083038687706]","[0.3916473388671875, 0.2716202735900879, -0.06514419615268707]","[0.4180949032306671, 0.22782550752162933, -0.28587454557418823]",squat
16:32:54.290015,"[0.5202763676643372, 0.4086938202381134, -0.004692559130489826]","[0.5381088256835938, 0.6649082899093628, -0.05651777610182762]","[0.5506188273429871, 0.8735244274139404, 0.12931853532791138]","[0.5304761528968811, 0.09899391978979111, 0.026790307834744453]","[0.567510724067688, 0.24583746492862701, -0.09078605473041534]","[0.5329428911209106, 0.20729772746562958, -0.335875928401947]","[0.44360440969467163, 0.4147385358810425, 0.004741717595607042]","[0.42885011434555054, 0.6674184203147888, -0.010357134975492954]","[0.4163488447666168, 0.8772566318511963, 0.17792850732803345]","[0.419181227684021, 0.10328248143196106, 0.032421715557575226]","[0.3914782404899597, 0.2686671018600464, -0.06258787959814072]","[0.4191594421863556, 0.22835099697113037, -0.27048152685165405]",squat
16:32:54.348636,"[0.5203924775123596, 0.40899017453193665, -0.0010085535468533635]","[0.5382625460624695, 0.6640178561210632, -0.05005977675318718]","[0.5506567358970642, 0.8736501932144165, 0.14751292765140533]","[0.5304253697395325, 0.09928525984287262, -0.0071755205281078815]","[0.5675113201141357, 0.24878033995628357, -0.12800350785255432]","[0.5339441895484924, 0.20284798741340637, -0.39760321378707886]","[0.44352272152900696, 0.416412889957428, 0.000980406766757369]","[0.42884352803230286, 0.667438805103302, 0.0005908264429308474]","[0.41628405451774597, 0.8761215806007385, 0.214577779173851]","[0.41900888085365295, 0.10339131206274033, -0.00893482007086277]","[0.38929423689842224, 0.27037400007247925, -0.10403183102607727]","[0.41947320103645325, 0.22835388779640198, -0.31541869044303894]",squat
16:32:54.406956,"[0.520808756351471, 0.41017863154411316, -0.0002344831736991182]","[0.5382730960845947, 0.6633687615394592, -0.04391247779130936]","[0.5506740808486938, 0.8735876083374023, 0.14714369177818298]","[0.5297159552574158, 0.09942267835140228, 0.014834082685410976]","[0.5651405453681946, 0.24597899615764618, -0.10922860354185104]","[0.5331717133522034, 0.1978403478860855, -0.3683522343635559]","[0.44354692101478577, 0.4178054928779602, 0.00022658493253402412]","[0.42882949113845825, 0.6676608324050903, -0.0045449333265423775]","[0.4161683917045593, 0.8761352300643921, 0.19515877962112427]","[0.4189886748790741, 0.10361569374799728, 0.01736721582710743]","[0.3890247344970703, 0.270614355802536, -0.08499201387166977]","[0.420148640871048, 0.22895517945289612, -0.28888848423957825]",squat
16:32:54.465095,"[0.521173357963562, 0.4102601706981659, 0.00010478619515197352]","[0.5381897687911987, 0.6631149053573608, -0.04428057372570038]","[0.5506961941719055, 0.8746720552444458, 0.1509745568037033]","[0.5294693112373352, 0.09949941188097, 0.02175239287316799]","[0.5651822686195374, 0.24626664817333221, -0.1016823947429657]","[0.5336449146270752, 0.1983359158039093, -0.35589122772216797]","[0.4438278377056122, 0.418068528175354, -9.554465941619128e-05]","[0.4292075037956238, 0.6679630875587463, -0.008214863017201424]","[0.41616562008857727, 0.8765174746513367, 0.1902940720319748]","[0.41904017329216003, 0.10344896465539932, 0.02465328387916088]","[0.3889849781990051, 0.2701447010040283, -0.07499156147241592]","[0.4204327166080475, 0.22901193797588348, -0.2792654037475586]",squat
16:32:54.522516,"[0.521373450756073, 0.41082897782325745, -0.00011306437227176502]","[0.5379741787910461, 0.6631647348403931, -0.046456824988126755]","[0.55070561170578, 0.8755280375480652, 0.1515710949897766]","[0.5294564962387085, 0.09960102289915085, 0.04058461636304855]","[0.5660728812217712, 0.2465636432170868, -0.09040047228336334]","[0.5341328978538513, 0.197641983628273, -0.3420880138874054]","[0.44402876496315, 0.41845110058784485, 0.00012231964501552284]","[0.4296238124370575, 0.6681861877441406, -0.014005767181515694]","[0.41611161828041077, 0.8777838349342346, 0.18167856335639954]","[0.41922086477279663, 0.10323414206504822, 0.028664836660027504]","[0.38903099298477173, 0.27098849415779114, -0.0722210481762886]","[0.42041465640068054, 0.2289777249097824, -0.2762892544269562]",squat
16:32:54.581478,"[0.5214442014694214, 0.41083452105522156, 0.000465678604086861]","[0.5379734039306641, 0.6627852916717529, -0.04692525044083595]","[0.5507181286811829, 0.8756256103515625, 0.1548469513654709]","[0.5300308465957642, 0.09985971450805664, 0.041847940534353256]","[0.5694493055343628, 0.24779829382896423, -0.08792153745889664]","[0.5350616574287415, 0.1977044641971588, -0.34622231125831604]","[0.44405025243759155, 0.41842424869537354, -0.0004506112018134445]","[0.4296744167804718, 0.6681742668151855, -0.018859688192605972]","[0.4160805344581604, 0.8780767321586609, 0.17761199176311493]","[0.4193650484085083, 0.10305009037256241, 0.03235693275928497]","[0.38898688554763794, 0.2713237702846527, -0.06710947304964066]","[0.42025434970855713, 0.22914020717144012, -0.2673487365245819]",squat
16:32:54.639752,"[0.5214388966560364, 0.41082873940467834, 0.0027664133813232183]","[0.5377933979034424, 0.66205894947052, -0.04861241951584816]","[0.55078125, 0.8755902647972107, 0.15070758759975433]","[0.5303263068199158, 0.09986743330955505, 0.04884286969900131]","[0.5708239674568176, 0.2479083091020584, -0.0792107880115509]","[0.5355919599533081, 0.19801002740859985, -0.3405395448207855]","[0.44410496950149536, 0.41840267181396484, -0.0027113070245832205]","[0.4300045073032379, 0.6682664155960083, -0.018961388617753983]","[0.41608014702796936, 0.8780786991119385, 0.17892718315124512]","[0.4197346866130829, 0.10233242064714432, 0.03149258717894554]","[0.3891516327857971, 0.27009502053260803, -0.06491567939519882]","[0.4202567934989929, 0.22982782125473022, -0.26522931456565857]",squat
